Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.65-20.198.119.84-49421-443-6,20.198.119.84,443,192.168.1.65,49421,6,24/01/2025 04:18:52 PM,255,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7843.137254901961,255.0,0.0,255.0,255.0,0,0,0,0,0,255.0,255.0,0.0,255.0,255.0,0,0,0,0,0,40,0.0,7843.137254901961,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.65-74.125.130.188-50915-443-6,192.168.1.65,50915,74.125.130.188,443,6,24/01/2025 04:18:51 PM,107247,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,9.324270142754576,18.648540285509153,107247.0,0.0,107247.0,107247.0,0,0,0,0,0,107247.0,107247.0,0.0,107247.0,107247.0,0,0,0,0,0,52,0.0,18.648540285509153,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.65-23.63.111.170-51203-443-6,192.168.1.65,51203,23.63.111.170,443,6,24/01/2025 04:18:45 PM,112795,7,10,972.0,4993.0,567.0,0.0,138.85714285714286,223.06383882305127,1412.0,0.0,499.29999999999995,639.4489033535049,52883.54980273948,150.71590052750565,7049.6875,12033.45750657308,32193.0,0.0,80910.0,13485.0,13748.634943149811,32357.0,1685.0,112596.0,12510.666666666666,16305.391018003831,36166.0,0.0,0,0,0,0,140,224,62.05948845250232,88.65641207500332,0.0,1412.0,331.38888888888886,521.86533522028,272343.4281045752,0,1,0,0,0,0,0,0,1.0,350.88235294117646,138.85714285714286,499.3,0,0,0,0,0,0,7,972,10,4993,-1,502,3,0,0,0,0,0,0,0,0,0,No Label
162.159.136.234-192.168.1.65-443-51143-6,162.159.136.234,443,192.168.1.65,51143,6,24/01/2025 04:18:44 PM,6680471,8,8,849.0,142.0,443.0,0.0,106.125,142.610796525769,91.0,0.0,17.75,34.56153931757091,148.34283391096227,2.3950407089560004,445364.73333333334,839688.3454333745,2941444.0,202.0,3686766.0,526680.8571428572,650043.3853516827,1731619.0,1466.0,6680471.0,954353.0,1071647.6330608863,2989263.0,52059.0,0,1,0,0,160,160,1.1975203544780002,1.1975203544780002,0.0,443.0,63.6470588235294,106.87664687413627,11422.617647058822,0,0,0,1,1,0,0,0,1.0,67.625,106.125,17.75,0,0,0,0,0,0,8,849,8,142,-1,512,7,0,0,0,0,0,0,0,0,0,No Label
192.168.1.65-103.10.124.4-50960-443-6,103.10.124.4,443,192.168.1.65,50960,6,24/01/2025 04:18:45 PM,7045157,1,3,0.0,239.0,0.0,0.0,0.0,0.0,185.0,0.0,79.66666666666667,95.13323989717439,33.92401333284695,0.567765913520451,2348385.666666667,3954975.38571877,6915183.0,54893.0,0,0,0,0,0,6970076.0,3485038.0,4850957.57990626,6915183.0,54893.0,0,1,0,0,20,60,0.14194147838011276,0.42582443514033824,0.0,185.0,84.8,94.08878785487674,8852.7,0,0,0,1,1,0,0,0,3.0,106.0,0.0,79.66666666666667,0,0,0,0,0,0,1,0,3,239,-1,510,0,0,54893.0,0.0,54893.0,54893.0,6915183.0,0.0,6915183.0,6915183.0,No Label
192.168.1.65-34.107.12.146-50933-7500-6,34.107.12.146,7500,192.168.1.65,50933,6,24/01/2025 04:18:48 PM,258,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7751.937984496125,258.0,0.0,258.0,258.0,0,0,0,0,0,258.0,258.0,0.0,258.0,258.0,0,0,0,0,0,40,0.0,7751.937984496125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,511,0,0,0,0,0,0,0,0,0,0,No Label
